Review_8,Capacity,Noise_Level,Review_1,Review_3,Review_2,Review_5,Review_4,Review_7,Review_6,ASIN,Offer_Price,Brand,Item_name,No_of_Reviews,Energy_Efficiency,Part_No,MRP,Control_Console,Model,Best_Sellers_Rank_Category_AC,Best_Sellers_Rank_Category_home_kitchen,Color,Wattage,Installation_Type,Average_Rating,Voltage,Item_href
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Haier-HSU-13CNFG5N-Rating-Silver-Aluminium/dp/B00OTDQK6W/ref=sr_1_881/253-2861641-6521521?ie=UTF8&qid=1485080576&s=kitchen&sr=1-881
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Daikin-FTXS35EVMA-Split-Ton-White/dp/B00PASQ4LQ/ref=sr_1_873/253-2861641-6521521?ie=UTF8&qid=1485080576&s=kitchen&sr=1-873
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Midea-Magna-MS11M2-18CR-MOF1-18C-Rating/dp/B00LSJSC48/ref=sr_1_1027/253-7993029-7387706?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1027
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Midea-Marvel-MWF11-12CR-QB8-Window-Rating/dp/B00LSJSGTE/ref=sr_1_1026/253-7993029-7387706?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1026
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Midea-Marvel-MWF11-18CR1-QB8-Window-Rating/dp/B00LSJSHZM/ref=sr_1_1025/253-7993029-7387706?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1025
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Whirlpool-3D-Cool-Rating-Silver/dp/B00LSJU2FK/ref=sr_1_1024/253-7993029-7387706?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1024
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Samsung-AR12HC5TSNC-Split-Rating-Aluminium/dp/B00LSJYQTI/ref=sr_1_1021/253-7993029-7387706?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1021
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Carrier-Dura-Edge-Plus-Rating/dp/B00LSJX432/ref=sr_1_1022/253-7993029-7387706?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1022
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Panasonic-CS-CU-KC12PKY-Rating-Copper/dp/B00LSJU62O/ref=sr_1_1023/253-7993029-7387706?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1023
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Haier-HSU-13CXAS3N-Split-Rating-Aluminium/dp/B00OTDMOQC/ref=sr_1_884/253-2861641-6521521?ie=UTF8&qid=1485080576&s=kitchen&sr=1-884
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Samsung-AR18HC5TSNC-Split-Rating-Aluminium/dp/B00LSJYVZM/ref=sr_1_1018/253-7993029-7387706?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1018
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Samsung-AR18HC3ESLW-Split-Rating-Aluminium/dp/B00LSJYU7G/ref=sr_1_1019/253-7993029-7387706?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1019
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Samsung-AR18HC3ESLW-Split-Rating-Aluminium/dp/B00LSJYU7G/ref=sr_1_1019_m/253-7993029-7387706?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1019
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Panasonic-CS-YC12QKY-3-Split-Rating-Copper/dp/B00LSJZ6UG/ref=sr_1_1015/253-7993029-7387706?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1015
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Samsung-AR18HC5ESLZ-Split-Rating-Aluminium/dp/B00LSJYX9G/ref=sr_1_1017_m/253-7993029-7387706?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1017
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Voltas-Luxury-183-LYE-Aluminium/dp/B00LSJZEYY/ref=sr_1_1012/253-7993029-7387706?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1012
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Panasonic-CS-YC18QKY-3-Split-Rating-Copper/dp/B00LSJZ02K/ref=sr_1_1016/253-7993029-7387706?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1016
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Carrier-Durakool-Plus-Window-Rating/dp/B00LSJZRD2/ref=sr_1_1011/253-7993029-7387706?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1011
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Voltas-Magna-123-MYI-Rating/dp/B00LSJZC2S/ref=sr_1_1013/253-7993029-7387706?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1013
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Samsung-AR12HC5TSNC-Split-Rating-Aluminium/dp/B00LSJYQTI/ref=sr_1_1021_m/253-7993029-7387706?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1021
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Samsung-AR18HC3USNB-Split-Rating-Aluminium/dp/B00LSJYRX8/ref=sr_1_1020_m/253-7993029-7387706?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1020
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Samsung-AR18HC5TSNC-Split-Rating-Aluminium/dp/B00LSJYVZM/ref=sr_1_1018_m/253-7993029-7387706?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1018
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Samsung-AR18HC5ESLZ-Split-Rating-Aluminium/dp/B00LSJYX9G/ref=sr_1_1017/253-7993029-7387706?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1017
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/LG-LSA5MP5M-Inverter-Rating-Aluminium/dp/B00LFA5E9Q/ref=sr_1_1081/254-4867048-7696219?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1081
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/Haier-HSU-19CXBW3N-Split-Rating-Aluminium/dp/B00OTDT8Q6/ref=sr_1_877/253-2861641-6521521?ie=UTF8&qid=1485080576&s=kitchen&sr=1-877
,,,,,,,,,,,,,Robot Check,,,,,,,,,,,,,,http://www.amazon.in/LG-LSA3TM5M-Inverter-Rating-Aluminium/dp/B00LFA4TQK/ref=sr_1_1092/254-4867048-7696219?ie=UTF8&qid=1485080576&s=kitchen&sr=1-1092
