Review_8,Capacity,Noise_Level,Review_1,Review_3,Review_2,Review_5,Review_4,Review_7,Review_6,ASIN,Offer_Price,Brand,Item_name,No_of_Reviews,Energy_Efficiency,Part_No,MRP,Control_Console,Model,Best_Sellers_Rank_Category_AC,Best_Sellers_Rank_Category_home_kitchen,Color,Wattage,Installation_Type,Average_Rating,Voltage,Item_href
,2 tons,51 dB,,,,,,,,B010DLYTF2,,Voltas,"Voltas 2.0T24VEYW Split AC (2 Ton, White, Aluminium): Amazon.in: Home & Kitchen",,,2.0 T 24V EY-W,"73,480.00",Remote Control,2.0 T 24V EY-W,#402,"#3,90,285",White,1985 Watts,Split,,230 Volts,http://www.amazon.in/Voltas-2-0T24VEYW-Split-White-Aluminium/dp/B010DLYTF2/ref=sr_1_526/255-6091695-9565635?ie=UTF8&qid=1485080007&s=kitchen&sr=1-526
,1 tons,42 dB,,,,,,,,B010DLYK9M,,Voltas,"Voltas 1.0T12VEYW Split AC (1 Ton, White, Copper): Amazon.in: Home & Kitchen",,,1.0 T 12V EY-W,,Remote Control,1.0 T 12V EY-W,,,White,1080 Watts,Split,,230 Volts,http://www.amazon.in/Voltas-1-0T12VEYW-Split-White-Copper/dp/B010DLYK9M/ref=sr_1_527/255-6091695-9565635?ie=UTF8&qid=1485080007&s=kitchen&sr=1-527
,1 tons,33 dB,"Never buy Videocon products!!!!, their after sell service s***ks...they have appointed some third class companies for electronic product after sell service....I have just wasted my hard earned 27k by buying Videocon AC....11 months 3 repairs and still giving problems...I wanted register 4th complaint before 1 year warranty period but these people made me wait and called me back after warranty period got over...and now asking money for repair..worst electronic product company in India...",,,,,,,B012AMMBIY," 25,890.00",Videocon,"Videocon VSD35.WV1-MDA Split AC (1 Ton, 5 Star Rating, White) with Free VC060P 47-Litre Refrigerator: Amazon.in: Home & Kitchen",1 review,5 Star Rating,,"32,990.00",Remote Control,VSD35.WV1-MDA + VC060P,,,White,995 Watts,Split,1.0 out of 5 stars,230 Volts,http://www.amazon.in/Videocon-VSD35-WV1-MDA-VC060P-47-Litre-Refrigerator/dp/B012AMMBIY/ref=sr_1_525/255-6091695-9565635?ie=UTF8&qid=1485080007&s=kitchen&sr=1-525
,1.5 tons,,,,,,,,,B013I8NQG0," 36,000.00",Voltas,"Voltas 183 Sprint Y Series Split AC (1.5 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,3 Star Rating,,,Remote Control,1.5 TON 183 SY,,,White,,Split,,230 Volts,http://www.amazon.in/Voltas-183-Sprint-1-5-Rating/dp/B013I8NQG0/ref=sr_1_523/255-6091695-9565635?ie=UTF8&qid=1485080007&s=kitchen&sr=1-523
,2 tons,,,,,,,,,B01BSNSK9U," 59,200.00",Hitachi,"Hitachi RAU324AWEA Kashikoi Split AC (2 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,3 Star Rating,,,Remote Control,RAU324AWEA,,,White,,Split,,230 Volts,http://www.amazon.in/Hitachi-RAU324AWEA-Kashikoi-Rating-Copper/dp/B01BSNSK9U/ref=sr_1_473/253-6029875-4538509?ie=UTF8&qid=1485080008&s=kitchen&sr=1-473
,1 tons,,,,,,,,,B01BSNSHRA," 50,899.00",Hitachi,"Hitachi RAU512IWEA Kashikoi Split AC (1 Ton, 5 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,5 Star Rating,,"56,690.00",Remote Control,RAU512IWEA,#502,"#5,00,033",White,,Split,,,http://www.amazon.in/Hitachi-RAU512IWEA-Kashikoi-Rating-Copper/dp/B01BSNSHRA/ref=sr_1_479/253-6029875-4538509?ie=UTF8&qid=1485080008&s=kitchen&sr=1-479
,1.5 tons,,,,,,,,,B01BSNSHS4," 51,000.00",Hitachi,"Hitachi RAU518AWEA Kashikoi Split AC (1.5 Ton, 5 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,5 Star Rating,,"59,090.00",Remote Control,RAU518AWEA,#516,"#5,09,726",White,,Split,,230 Volts,http://www.amazon.in/Hitachi-RAU518AWEA-Kashikoi-Rating-Copper/dp/B01BSNSHS4/ref=sr_1_477/253-6029875-4538509?ie=UTF8&qid=1485080008&s=kitchen&sr=1-477
,1.7 tons,44 dB,,,,,,,,B01INHC1BC," 66,800.00",Samsung,"Samsung AR24JV5NBWK Split AC (1.7 Ton, 5 Star Rating, White): Amazon.in: Home & Kitchen",,5 Star Rating,AR24JV5NBWK,,Remote Control,Brand Fulfilled,,,White,1710 Watts,Split,,230 Volts,http://www.amazon.in/Samsung-AR24JV5NBWK-Split-Rating-White/dp/B01INHC1BC/ref=sr_1_361/255-1453627-1374867?ie=UTF8&qid=1485080008&s=kitchen&sr=1-361
,0.75 tons,,,,,,,,,B01CFY8RBM," 18,500.00",Blue Star,"Blue Star 3WAE081YDF Window AC (0.75 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",,3 Star Rating,,,Remote Control,3WAE081YDF,#665,"#6,34,465",White,,Window,,,http://www.amazon.in/Blue-Star-3WAE081YDF-Window-Rating/dp/B01CFY8RBM/ref=sr_1_471/253-6029875-4538509?ie=UTF8&qid=1485080008&s=kitchen&sr=1-471
,2 tons,50 dB,,,,,,,,B00WW5T2UK," 40,000.00",Panasonic,"Panasonic UC24RKY2 Split AC (2 Ton, 2 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,2 Star Rating,UC24RKY2,,Remote Control,UC24RKY2,#543,"#5,20,955",White,2100 Watts,Split,,230 Volts,http://www.amazon.in/Panasonic-UC24RKY2-Split-Rating-Copper/dp/B00WW5T2UK/ref=sr_1_557/255-6401717-3654001?ie=UTF8&qid=1485080007&s=kitchen&sr=1-557
,1.5 tons,48 dB,,,,,,,,B010DLYA56," 39,800.00",Voltas,"Voltas 1.5T18VEYW Split AC (1.5 Ton, White, Aluminium): Amazon.in: Home & Kitchen",,,,"59,990.00",Remote Control,,#514,"#5,09,401",White,1600 Watts,Split,,230 Volts,http://www.amazon.in/Voltas-1-5T18VEYW-Split-1-5-Aluminium/dp/B010DLYA56/ref=sr_1_528/255-6091695-9565635?ie=UTF8&qid=1485080007&s=kitchen&sr=1-528
,1.8 tons,47 dB,,,,,,,,B013UCHZ6G," 44,000.00",Daikin,"Daikin R-32 DTC Series Split AC (1.8 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",,3 Star Rating,,"50,100.00",Remote Control,DTC60QRV16,#524,"#5,12,785",White,1970 Watts,Split,,230 Volts,http://www.amazon.in/Daikin-R-32-Split-Rating-White/dp/B013UCHZ6G/ref=sr_1_522/255-6091695-9565635?ie=UTF8&qid=1485080007&s=kitchen&sr=1-522
,2 tons,,never buy this AC..its useless..service is very poor.my ac broke down within 5 days. no response from customer care also.I never expected the quality of product and service is so poor for a brand like HITACHI.,,,,,,,B01BSNSIEW," 59,090.00",Hitachi,"Hitachi RAU524AVD Zunoh Split AC (2 Ton, 5 Star Rating, White, Copper): Amazon.in: Home & Kitchen",1 review,5 Star Rating,,,Remote Control,RAU524AVD,,,White,,Split,1.0 out of 5 stars,230 Volts,http://www.amazon.in/Hitachi-RAU524AVD-Zunoh-Rating-Copper/dp/B01BSNSIEW/ref=sr_1_475/253-6029875-4538509?ie=UTF8&qid=1485080008&s=kitchen&sr=1-475
,1.5 tons,,,,,,,,,B01BSNSFVI," 43,645.00",Hitachi,"Hitachi RAU318KWEA Toushi Split AC (1.5 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,3 Star Rating,,"51,090.00",Remote Control,RAU318KWEA,,,White,,Split,,230 Volts,http://www.amazon.in/Hitachi-RAU318KWEA-Toushi-Rating-Copper/dp/B01BSNSFVI/ref=sr_1_480/253-6029875-4538509?ie=UTF8&qid=1485080008&s=kitchen&sr=1-480
,1.5 tons,,,,,,,,,B01BSNSHRK," 61,000.00",Hitachi,"Hitachi RAU518IWEA Kashikoi Split AC (1.5 Ton, 5 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,5 Star Rating,,,Remote Control,RAU518IWEA,#515,"#5,09,540",White,,Split,,230 Volts,http://www.amazon.in/Hitachi-RAU518IWEA-Kashikoi-Rating-Copper/dp/B01BSNSHRK/ref=sr_1_478/253-6029875-4538509?ie=UTF8&qid=1485080008&s=kitchen&sr=1-478
,2 tons,45 dB,,,,,,,,B01C6WI6TQ,,Electrolux,"Electrolux ES24L3C Remote Control Split AC (2 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",,3 Star Rating,,,Remote Control,ES24L3C,,,White,6650 Watts,Split,,230 Volts,http://www.amazon.in/Electrolux-ES24L3C-Remote-Control-Rating/dp/B01C6WI6TQ/ref=sr_1_472/253-6029875-4538509?ie=UTF8&qid=1485080008&s=kitchen&sr=1-472
,1.5 tons,,,,,,,,,B01INHB9RE," 30,940.00",Samsung,"Samsung AR18KC2JAMC Split AC (1.5 Ton, 2 Star Rating, Blue Cosmo Strip): Amazon.in: Home & Kitchen",,2 Star Rating,AR18KC2JAMC,"47,100.00",Remote Control,Brand Fulfilled,,,Blue Cosmo Strip,,Split,,,http://www.amazon.in/Samsung-AR18KC2JAMC-Split-Rating-Cosmo/dp/B01INHB9RE/ref=sr_1_384_m/255-1453627-1374867?ie=UTF8&qid=1485080008&s=kitchen&sr=1-384
,2 tons,42 dB,,,,,,,,B01INHBPYQ," 40,900.00",Samsung,"Samsung AR24FC2TAUR Split AC (2 Ton, 2 Star Rating, White): Amazon.in: Home & Kitchen",,2 Star Rating,AR24FC2TAUR,,Remote Control,Brand Fulfilled,,,White,,Split,,,http://www.amazon.in/Samsung-AR24FC2TAUR-Split-Rating-White/dp/B01INHBPYQ/ref=sr_1_367/255-1453627-1374867?ie=UTF8&qid=1485080008&s=kitchen&sr=1-367
,1.5 tons,,,,,,,,,B01INHB9RE," 30,940.00",Samsung,"Samsung AR18KC2JAMC Split AC (1.5 Ton, 2 Star Rating, Blue Cosmo Strip): Amazon.in: Home & Kitchen",,2 Star Rating,AR18KC2JAMC,"47,100.00",Remote Control,Brand Fulfilled,,,Blue Cosmo Strip,,Split,,,http://www.amazon.in/Samsung-AR18KC2JAMC-Split-Rating-Cosmo/dp/B01INHB9RE/ref=sr_1_384/255-1453627-1374867?ie=UTF8&qid=1485080008&s=kitchen&sr=1-384
,1.5 tons,43 dB,,,,,,,,B01INHBFLO," 33,215.00",Samsung,"Samsung AR18KC3JEMC Split AC (1.5 Ton, 3 Star Rating, Blue Cosmo Strip, Aluminium): Amazon.in: Home & Kitchen",,3 Star Rating,AR18KC3JEMC,"38,300.00",Remote Control,Brand Fulfilled,,,Blue Cosmo Strip,,Split,,,http://www.amazon.in/Samsung-AR18KC3JEMC-Split-Rating-Aluminium/dp/B01INHBFLO/ref=sr_1_380/255-1453627-1374867?ie=UTF8&qid=1485080008&s=kitchen&sr=1-380
,1.5 tons,43 dB,,,,,,,,B01INHBFPK," 34,580.00",Samsung,"Samsung AR18KC3HDTR Split AC (1.5 Ton, 3 Star Rating, Grey, Aluminium): Amazon.in: Home & Kitchen",,3 Star Rating,AR18KC3HDTR,"49,700.00",Remote Control,Brand Fulfilled,#652,"#6,23,761",Grey,,Split,,,http://www.amazon.in/Samsung-AR18KC3HDTR-Split-Rating-Aluminium/dp/B01INHBFPK/ref=sr_1_378/255-1453627-1374867?ie=UTF8&qid=1485080008&s=kitchen&sr=1-378
,1.5 tons,43 dB,,,,,,,,B01INHBFLO," 33,215.00",Samsung,"Samsung AR18KC3JEMC Split AC (1.5 Ton, 3 Star Rating, Blue Cosmo Strip, Aluminium): Amazon.in: Home & Kitchen",,3 Star Rating,AR18KC3JEMC,"38,300.00",Remote Control,Brand Fulfilled,,,Blue Cosmo Strip,,Split,,,http://www.amazon.in/Samsung-AR18KC3JEMC-Split-Rating-Aluminium/dp/B01INHBFLO/ref=sr_1_380_m/255-1453627-1374867?ie=UTF8&qid=1485080008&s=kitchen&sr=1-380
,1.5 tons,,nice,,,,,,,B01INHBKBY," 44,499.00",Samsung,"Samsung AR18KV5HBTQ Split AC (1.5 Ton, 5 Star Rating, Lily Blue): Amazon.in: Home & Kitchen",1 review,5 Star Rating,AR18KV5HBTQ,"51,400.00",Remote Control,Brand Fulfilled,,,Lily Blue,,Split,5.0 out of 5 stars,,http://www.amazon.in/Samsung-AR18KV5HBTQ-Split-Star-Rating/dp/B01INHBKBY/ref=sr_1_373/255-1453627-1374867?ie=UTF8&qid=1485080008&s=kitchen&sr=1-373
,1.5 tons,43 dB,,,,,,,,B01INHBFTG," 34,580.00",Samsung,"Samsung AR18KC3HDTP Split AC (1.5 Ton, 3 Star Rating, Lily Grey, Aluminium): Amazon.in: Home & Kitchen",,3 Star Rating,AR18KC3HDTP,"39,900.00",Remote Control,Brand Fulfilled,,,Lily Grey,,Split,,,http://www.amazon.in/Samsung-AR18KC3HDTP-Split-Rating-Aluminium/dp/B01INHBFTG/ref=sr_1_375/255-1453627-1374867?ie=UTF8&qid=1485080008&s=kitchen&sr=1-375
,1.5 tons,,,,,,,,,B01CFY9AUY," 43,500.00",Blue Star,"Blue Star BI-5HW18ZARTX Split AC (1.5 Ton, 3 Star Rating, Wine Red): Amazon.in: Home & Kitchen",,5 Star Rating,,,Remote Control,BI-5HW18ZARTX,,,Wine Red,,Split,,230 Volts,http://www.amazon.in/Blue-Star-BI-5HW18ZARTX-Split-Rating/dp/B01CFY9AUY/ref=sr_1_457/253-6029875-4538509?ie=UTF8&qid=1485080008&s=kitchen&sr=1-457
,2 tons,33 dB,"Very good in quality wise....,,prise thoda jayda ha ....i am satisfied.....and its a verygood product",Nice AC,It is excellent technology,,,,,B00PLQQDFY," 65,000.00",O General,"O General ASGA24JCC-2.0 Inverter Wall Mounted Split AC (2 Ton, White, Copper): Amazon.in: Home & Kitchen",3 reviews,Inverter,,,Remote Control,ASGA24JCC,#359,"#3,45,869",White,2450 Watts,Split,4.3 out of 5 stars,240 Volts,http://www.amazon.in/General-ASGA24JCC-2-0-Inverter-Mounted-Copper/dp/B00PLQQDFY/ref=sr_1_313/255-4260654-1007340?ie=UTF8&qid=1485080007&s=kitchen&sr=1-313
,1.5 tons,43 dB,,,,,,,,B01INHBFUA," 36,036.00",Samsung,"Samsung AR18KC3EDLW Split AC (1.5 Ton, 3 Star Rating, Refined Wine, Aluminium): Amazon.in: Home & Kitchen",,3 Star Rating,AR18KC3EDLW,"41,600.00",Remote Control,Brand Fulfilled,,,Refined Wine,,Split,,,http://www.amazon.in/Samsung-AR18KC3EDLW-Rating-Refined-Aluminium/dp/B01INHBFUA/ref=sr_1_374_m/255-1453627-1374867?ie=UTF8&qid=1485080008&s=kitchen&sr=1-374
,1.5 tons,43 dB,,,,,,,,B01INHBFUA," 36,036.00",Samsung,"Samsung AR18KC3EDLW Split AC (1.5 Ton, 3 Star Rating, Refined Wine, Aluminium): Amazon.in: Home & Kitchen",,3 Star Rating,AR18KC3EDLW,"41,600.00",Remote Control,Brand Fulfilled,,,Refined Wine,,Split,,,http://www.amazon.in/Samsung-AR18KC3EDLW-Rating-Refined-Aluminium/dp/B01INHBFUA/ref=sr_1_374/255-1453627-1374867?ie=UTF8&qid=1485080008&s=kitchen&sr=1-374
,1.5 tons,43 dB,,,,,,,,B01INHB9W4," 31,941.00",Samsung,"Samsung AR18KC2HATR Split AC (1.5 Ton, 2 Star Rating, Grey, Aluminium): Amazon.in: Home & Kitchen",,2 Star Rating,AR18KC2HATR,"36,900.00",Remote Control,Brand Fulfilled,,,Grey,,Split,,,http://www.amazon.in/Samsung-AR18KC2HATR-Split-Rating-Aluminium/dp/B01INHB9W4/ref=sr_1_383/255-1453627-1374867?ie=UTF8&qid=1485080008&s=kitchen&sr=1-383
,1.5 tons,43 dB,,,,,,,,B01INHBFTG," 34,580.00",Samsung,"Samsung AR18KC3HDTP Split AC (1.5 Ton, 3 Star Rating, Lily Grey, Aluminium): Amazon.in: Home & Kitchen",,3 Star Rating,AR18KC3HDTP,"39,900.00",Remote Control,Brand Fulfilled,,,Lily Grey,,Split,,,http://www.amazon.in/Samsung-AR18KC3HDTP-Split-Rating-Aluminium/dp/B01INHBFTG/ref=sr_1_375_m/255-1453627-1374867?ie=UTF8&qid=1485080008&s=kitchen&sr=1-375
