Review_8,Capacity,Noise_Level,Review_1,Review_3,Review_2,Review_5,Review_4,Review_7,Review_6,ASIN,Offer_Price,Brand,Item_name,No_of_Reviews,Energy_Efficiency,Part_No,MRP,Control_Console,Model,Best_Sellers_Rank_Category_AC,Best_Sellers_Rank_Category_home_kitchen,Color,Wattage,Installation_Type,Average_Rating,Voltage,Item_href
,1 tons,39 dB,,,,,,,,B00VUTY6O6," 38,052.00",Carrier,"Carrier 12K Octra Inverter Split AC (1 Ton, White, Copper): Amazon.in: Home & Kitchen",,Inverter,,,Remote Control,MS11D12-12CRDN3-QC2,,,White,1048 Watts,Split,,230 Volts,http://www.amazon.in/Carrier-Octra-Inverter-Split-Copper/dp/B00VUTY6O6/ref=sr_1_570/255-6401717-3654001?ie=UTF8&qid=1485080007&s=kitchen&sr=1-570
,1 tons,38 dB,,,,,,,,B00WQZWA00," 36,500.00",IFB,"IFB IACS12JCCTC Inverter Split AC (1 Ton, White, Copper): Amazon.in: Home & Kitchen",,Inverter,,"42,990.00",Remote Control,IACS12JCCTC,,,White,1080 Watts,Split,,240 Volts,http://www.amazon.in/IFB-IACS12JCCTC-Inverter-Split-Copper/dp/B00WQZWA00/ref=sr_1_564/255-6401717-3654001?ie=UTF8&qid=1485080007&s=kitchen&sr=1-564
,1.5 tons,42 dB,,,,,,,,B00WU347WM," 36,600.00",Blue Star,"Blue Star 3HW18FB1 Split AC (1.5 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,3 Star Rating,,"38,800.00",Remote Control,3HW18FB1,,,White,1550 Watts,Split,,230 Volts,http://www.amazon.in/Blue-Star-3HW18FB1-Rating-Copper/dp/B00WU347WM/ref=sr_1_561/255-6401717-3654001?ie=UTF8&qid=1485080007&s=kitchen&sr=1-561
,2 tons,37 dB,,,,,,,,B00WR3WQ5A," 49,399.00",Hitachi,"Hitachi RAU324AVD Split AC (2 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,3 Star Rating,,,,RAU324AVD,#458,"#4,33,602",White,2134 Watts,Split,,230 Volts,http://www.amazon.in/Hitachi-RAU324AVD-Split-Rating-Copper/dp/B00WR3WQ5A/ref=sr_1_563/255-6401717-3654001?ie=UTF8&qid=1485080007&s=kitchen&sr=1-563
,1 tons,39 dB,,,,,,,,B00VUTXA2A," 33,768.00",Carrier,"Carrier 12K Octra Split AC (1 Ton, 5 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,5 Star Rating,,,Remote Control,42KGN - 012Sm,,,White,940 Watts,Split,,230 Volts,http://www.amazon.in/Carrier-Octra-Split-Rating-Copper/dp/B00VUTXA2A/ref=sr_1_573/255-6401717-3654001?ie=UTF8&qid=1485080007&s=kitchen&sr=1-573
,2 tons,47 dB,,,,,,,,B00VUTX09I," 42,840.00",Carrier,"Carrier 24K Octra Split AC (2 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,3 Star Rating,,,Remote Control,42KGE - 024Mm,,,White,1910 Watts,Split,,230 Volts,http://www.amazon.in/Carrier-Octra-Split-Rating-Copper/dp/B00VUTX09I/ref=sr_1_574/255-6401717-3654001?ie=UTF8&qid=1485080007&s=kitchen&sr=1-574
,2 tons,48 dB,,,,,,,,B00WU34E20," 44,900.00",Blue Star,"Blue Star 3HW24FB1 Split AC (2 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,3 Star Rating,,"47,600.00",Remote Control,3HW24FB1,,,White,1960 Watts,Split,,230 Volts,http://www.amazon.in/Blue-Star-3HW24FB1-Rating-Copper/dp/B00WU34E20/ref=sr_1_560/255-6401717-3654001?ie=UTF8&qid=1485080007&s=kitchen&sr=1-560
,2 tons,50 dB,the AC works very well. I ordered it to get cooling in three rooms together so that i could avoid purchasing two diff ac for three rooms. And this ac serves the purpose absolutely fine. The assembling cost a little high but that is applicable with any other AC. Its just the first year and I am hopeful it works fine for the coming years also. The only problem comes that LLOYD doesn't accept the sale made by Amazon since it is not its authorized dealer. So after purchase you have to tell lloyd customer care the name of the dealer not the amazon then they install it. so far so good.,,,,,,,B00U2DWZ08," 35,885.00",Lloyd,"Lloyd LS24A2P Split AC (2 Ton, 2 Star Rating, White): Amazon.in: Home & Kitchen",1 review,3 Star Rating,,,,LS24A2P,#314,"#3,08,096",White,2005 Watts,Split,4.0 out of 5 stars,230 Volts,http://www.amazon.in/Lloyd-LS24A2P-Split-Rating-White/dp/B00U2DWZ08/ref=sr_1_289/255-2574919-0037163?ie=UTF8&qid=1485080008&s=kitchen&sr=1-289
,1 tons,35 dB,,,,,,,,B00W7BRUE4," 27,450.00",Whirlpool,"Whirlpool 3D Cool Xtreme PLT V Split AC (1 Ton, 5 Star Rating, Silver): Amazon.in: Home & Kitchen",,5 Star Rating,,,Remote Control,WHIRBQ113,,,Silver,950 Watts,Split,,230 Volts,http://www.amazon.in/Whirlpool-Xtreme-Split-Rating-Silver/dp/B00W7BRUE4/ref=sr_1_566/255-6401717-3654001?ie=UTF8&qid=1485080007&s=kitchen&sr=1-566
,2 tons,40 dB,,,,,,,,B00WU33SNQ,,LG,"LG LSA6AU2A Split AC (2 Ton, 2 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,2 Star Rating,,"43,490.00",Remote Control,LSA6AU2A,,,White,2040 Watts,Split,,230 Volts,http://www.amazon.in/LG-LSA6AU2A-Split-Rating-Copper/dp/B00WU33SNQ/ref=sr_1_562/255-6401717-3654001?ie=UTF8&qid=1485080007&s=kitchen&sr=1-562
,1 tons,48 dB,,,,,,,,B01INH9IM2," 48,000.00",Samsung,"Samsung AR12HV5DAWK Split AC (1 Ton, 5 Star Rating, White): Amazon.in: Home & Kitchen",,5 Star Rating,AR12HV5DAWK,,Remote Control,Brand Fulfilled,,,White,,Split,,,http://www.amazon.in/Samsung-AR12HV5DAWK-Split-Rating-White/dp/B01INH9IM2/ref=sr_1_432_m/254-8295230-0627740?ie=UTF8&qid=1485080007&s=kitchen&sr=1-432
,,,,,,,,,,B017AZNZRC," 50,000.00",Trane,"Trane Interactive Split Air Conditioner, 2.0 Ton, 2 Star , White, Copper): Amazon.in: Home & Kitchen",,2 Star Rating,TSR22DW2BSFC3,,,TSR22DW2BSFC3,,,Silver,2080.00,Split,,,http://www.amazon.in/Trane-Interactive-Split-Conditioner-White/dp/B017AZNZRC/ref=sr_1_505/255-6091695-9565635?ie=UTF8&qid=1485080007&s=kitchen&sr=1-505
,1 tons,33 dB,,,,,,,,B00WUF8Y6U," 28,000.00",Videocon,"Videocon VSD33 GV1 Split AC (1 Ton, 3 Star Rating, Graphic): Amazon.in: Home & Kitchen",,3 Star Rating,,,Remote Control,VSD33 GV1,#710,"#6,49,107",Graphic,1070 Watts,Split,,230 Volts,http://www.amazon.in/Videocon-VSD33-GV1-Rating-Graphic/dp/B00WUF8Y6U/ref=sr_1_558/255-6401717-3654001?ie=UTF8&qid=1485080007&s=kitchen&sr=1-558
,1.5 tons,44 dB,,,,,,,,B00VUTWM1K," 33,990.00",Carrier,"Carrier 18K Octra Split AC (1.5 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,3 Star Rating,1.5 Ton 3S Octra,"40,900.00",Remote Control,42KGE - 018Mm,#716,"#6,50,455",White,1530 Watts,Split,,230 Volts,http://www.amazon.in/Carrier-Octra-Split-Rating-Copper/dp/B00VUTWM1K/ref=sr_1_575/255-6401717-3654001?ie=UTF8&qid=1485080007&s=kitchen&sr=1-575
,1.5 tons,38 dB,,,,,,,,B00W7BSXAY," 34,000.00",Whirlpool,"Whirlpool 3D Cool PLT V Split AC (1.5 Ton, 5 Star Rating, Silver): Amazon.in: Home & Kitchen",,5 Star Rating,,,Remote Control,WHIEUY129,,,Silver,1451 Watts,Split,,230 Volts,http://www.amazon.in/Whirlpool-Cool-Split-Rating-Silver/dp/B00W7BSXAY/ref=sr_1_565/255-6401717-3654001?ie=UTF8&qid=1485080007&s=kitchen&sr=1-565
,1 tons,,,,,,,,,B00Y05ZVV4," 30,055.00",Blue Star,"Blue Star 3HW12FC1 Split AC (1 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,3 Star Rating,3HW12FC1,"32,300.00",,3HW12FC1,,,White,1055 Watts,Split,,,http://www.amazon.in/Blue-Star-3HW12FC1-Rating-Copper/dp/B00Y05ZVV4/ref=sr_1_553/255-6401717-3654001?ie=UTF8&qid=1485080007&s=kitchen&sr=1-553
,2 tons,47 dB,,,,,,,,B00VUTYRYU," 54,180.00",Carrier,"Carrier 24K Octra Inverter Split AC (2 Ton, White, Copper): Amazon.in: Home & Kitchen",,Inverter,,,Remote Control,MS11D12-21CRDN3-QC2W,,,White,1947 Watts,Split,,230 Volts,http://www.amazon.in/Carrier-Octra-Inverter-Split-Copper/dp/B00VUTYRYU/ref=sr_1_568/255-6401717-3654001?ie=UTF8&qid=1485080007&s=kitchen&sr=1-568
,1 tons,35 dB,This is working well so far and is apt for my mums flat in india which is two bedrooms. It's working well and Keeps the home cool. Easy to use so far.,,,,,,,B00W7BQZZO," 32,000.00",Whirlpool,"Whirlpool 3D Cool DLX Plus III Split AC (1 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",1 review,3 Star Rating,,,Remote Control,WHIANC109,#507,"#5,04,831",White,1053 Watts,Split,5.0 out of 5 stars,230 Volts,http://www.amazon.in/Whirlpool-Cool-Split-Rating-White/dp/B00W7BQZZO/ref=sr_1_567/255-6401717-3654001?ie=UTF8&qid=1485080007&s=kitchen&sr=1-567
,1.5 tons,48 dB,"I bought this AC recently. It cools my 12x12 room pretty quickly with in 5 to 6 minutes.Installation:Installation from Carrier folks is OK if not good/excellent. But in this HOT demanding Summer probably I would not expect much more from these AC companies. Be sure to purchase a Stabilizer as well if you are purchasing the AC online. Because, carrier folks when they come for installation, they do not bring or sell any additional stuff (like stand for ODU, power chord, copper wire or stabilizer) And they charged 1500 for installation.Product:Almost all the sites, this particular product is shown with a flower design on the Indoor Unit. However, the one I got did not have. Checked on carrier website, it appears that ACs made this year this flower design is not there for OCTRA model. Cooling wise it is very good so far. Cools my 12 by 12 root pretty quickly in 6 to 7 minutes.Overall I am happy with the unit. Probably after using it for a while I can post another update.",,,,,,,B00VUTXJJ4," 40,236.00",Carrier,"Carrier 18K Octra Split AC (1.5 Ton, 5 Star Rating, White, Copper): Amazon.in: Home & Kitchen",1 review,5 Star Rating,,,Remote Control,42KGN - 018Nm,#666,"#6,35,013",White,1471 Watts,Split,4.0 out of 5 stars,230 Volts,http://www.amazon.in/Carrier-Octra-Split-Rating-Copper/dp/B00VUTXJJ4/ref=sr_1_572/255-6401717-3654001?ie=UTF8&qid=1485080007&s=kitchen&sr=1-572
,1.5 tons,48 dB,,,,,,,,B010DLWT3G," 31,000.00",Voltas,"Voltas 1.5T183LYI Split AC (1.5 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,3 Star Rating,1.5 T 183 LYi,,Remote Control,1.5 T 183 LYi,#469,"#4,43,907",White,1539 Watts,Split,,230 Volts,http://www.amazon.in/Voltas-1-5T183LYI-1-5-Rating-Copper/dp/B010DLWT3G/ref=sr_1_529/253-2784943-2189700?ie=UTF8&qid=1485080007&s=kitchen&sr=1-529
